id;image_book;image_book_content_type;image_libelle;image_code
1;../fake-data/blob/hipster.png;image/png;Cambridgeshire International;70293
2;../fake-data/blob/hipster.png;image/png;transmitter back-end utilisation;22019
3;../fake-data/blob/hipster.png;image/png;AI Supervisor flexibility;49296
4;../fake-data/blob/hipster.png;image/png;Outdoors quantify fuchsia;41163
5;../fake-data/blob/hipster.png;image/png;Wooden Station HDD;56464
6;../fake-data/blob/hipster.png;image/png;Clothing;62389
7;../fake-data/blob/hipster.png;image/png;Roads hack;97685
8;../fake-data/blob/hipster.png;image/png;Central XSS intangible;39591
9;../fake-data/blob/hipster.png;image/png;Metrics;23000
10;../fake-data/blob/hipster.png;image/png;Virginia groupware optical;51937
