id;name_of_book;author_name;nb_of_books;is_dn_nomber;subject_book;lang_of_book
1;Table Fish;Dynamic programming;17159;real-time;Principal compress state;Director high-level Pass
2;Borders Sudan Mall;Accountability;56683;auxiliary Pula Representative;Optimization calculating Delaware;Books quantify
3;Points violet;ivory lime;88762;cross-platform;optical blockchains orchestrate;Port payment Shoes
4;grow Chicken generate;deposit Cambridgeshire;11906;e-business indigo Account;Sweden Personal programming;Books transmitter
5;next-generation;Table Sleek input;33491;Nebraska South;e-tailers functionalities Supervisor;payment Toys Home
6;solid and;withdrawal Pizza Andorra;20035;Accountability JBOD;EXE New Branding;optical channels Intelligent
7;index bus Assistant;withdrawal engineer;68245;compress Concrete matrix;SMS;input migration
8;Quality-focused Synergized;Sahara parsing New;41623;channels composite;target override;fuchsia
9;Bahamian Avon withdrawal;Tasty orchestrate;30751;Intuitive;Tuna Soft Mountain;California
10;Unbranded;Licensed;91910;initiatives Savings;Chips Home;Frozen
